"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum"
"Mme BAUDRIN Nicole","380","380","0","370","10","0","0","0","0","0","A","Nord - 1","63 775 €","31 888 €"
"Mme BOUCLY Nicole","0","0","0","0","0","0","0","0","0","0","A","Nord - 1","63 775 €","31 888 €"
"M. JAKUBEK Franck","3 701","3 701","0","0","0","0","3 701","0","0","0","A","Nord - 1","63 775 €","31 888 €"
"M. JUBERT Daniel","0","0","0","0","0","0","0","0","0","0","A","Nord - 1","63 775 €","31 888 €"
"M. PAUWELS Jan","38","38","0","38","0","0","0","0","0","0","A","Nord - 1","63 775 €","31 888 €"
"Mme POTE Chantal","0","0","0","0","0","0","0","0","0","0","A","Nord - 1","63 775 €","31 888 €"
"M. SARKIS Frédéric","1 758","1 758","0","1 758","0","0","0","0","0","0","A","Nord - 1","63 775 €","31 888 €"
"M. BREBION Eric","0","0","0","0","0","0","0","0","0","0","A","Nord - 2","65 468 €","32 734 €"
"M. CARPENTIER Jean-Michel","92","92","92","0","0","0","0","0","0","0","A","Nord - 2","65 468 €","32 734 €"
"Mme DEFFRENNES Marie-Claire","0","0","0","0","0","0","0","0","0","0","A","Nord - 2","65 468 €","32 734 €"
"M. MALY Roger","3 986","3 986","0","0","0","0","3 986","0","0","0","A","Nord - 2","65 468 €","32 734 €"
"Mme MIRAN Corinne","0","0","0","0","0","0","0","0","0","0","A","Nord - 2","65 468 €","32 734 €"
"Mme ROUGÉE Pascale","398","398","0","359","10","0","29","0","0","0","A","Nord - 2","65 468 €","32 734 €"
"Mme THOUVENOT Lydie","38","38","0","38","0","0","0","0","0","0","A","Nord - 2","65 468 €","32 734 €"
"M. BERNARD Christian","38","38","0","38","0","0","0","0","0","0","A","Nord - 3","63 105 €","31 553 €"
"M. CASTERMANS Rémi","0","0","0","0","0","0","0","0","0","0","A","Nord - 3","63 105 €","31 553 €"
"Mme JOZEFIAK Murielle","0","0","0","0","0","0","0","0","0","0","A","Nord - 3","63 105 €","31 553 €"
"M. LABIS Dominique","0","0","0","0","0","0","0","0","0","0","A","Nord - 3","63 105 €","31 553 €"
"nique","367","367","0","357","10","0","0","0","0","0","A","Nord - 3","63 105 €","31 553 €"
"M. VANDECASTEELE Franck","2 230","2 759","2 759","0","0","0","0","529","529","0","A","Nord - 3","63 105 €","31 553 €"
"M. BOURY Gilles","369","369","0","359","10","0","0","0","0","0","A","Nord - 4","62 523 €","31 262 €"
"WEXSTEEN","0","0","0","0","0","0","0","0","0","0","A","Nord - 4","62 523 €","31 262 €"
"M. DELVAL Jean","0","0","0","0","0","0","0","0","0","0","A","Nord - 4","62 523 €","31 262 €"
"Mme DUBRULLE Chantal","21 669","21 700","0","21 700","0","0","0","31","31","0","A","Nord - 4","62 523 €","31 262 €"
"Mme FABER Vinciane","1 905","1 905","0","1 905","0","0","0","0","0","0","A","Nord - 4","62 523 €","31 262 €"
"M. NETCHENAWOE Jean","0","0","0","0","0","0","0","0","0","0","A","Nord - 4","62 523 €","31 262 €"
"Mlle SAMOY Emilie","1 585","1 585","0","0","0","0","1 585","0","0","0","A","Nord - 4","62 523 €","31 262 €"
"M. BOURREZ Jacques","0","0","0","0","0","0","0","0","0","0","A","Nord - 5","66 774 €","33 388 €"
"Mme HORN Mathilde","38","38","0","38","0","0","0","0","0","0","A","Nord - 5","66 774 €","33 388 €"
"M. LAPIERRE Xavier","411","411","0","401","10","0","0","0","0","0","A","Nord - 5","66 774 €","33 388 €"
"Mme LEROY-MIELLET Pascale","1 284","1 284","0","1 284","0","0","0","0","0","0","A","Nord - 5","66 774 €","33 388 €"
"Mme MONTAGNE Jacqueline","0","0","0","0","0","0","0","0","0","0","A","Nord - 5","66 774 €","33 388 €"
"Mme ROUSSEZ Danièle","0","0","0","0","0","0","0","0","0","0","A","Nord - 5","66 774 €","33 388 €"
"M. THELLIER Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Nord - 5","66 774 €","33 388 €"
"Mme ABDELLAOUI Fatima","435","435","0","417","4","0","14","0","0","0","A","Nord - 6","62 809 €","31 405 €"
"M. BOITEZ Vincent","0","0","0","0","0","0","0","0","0","0","A","Nord - 6","62 809 €","31 405 €"
"Mme COLIN Brigitte","0","0","0","0","0","0","0","0","0","0","A","Nord - 6","62 809 €","31 405 €"
"Mme FABER-ROSSI Maryse","1 251","1 251","0","1 251","0","0","0","0","0","0","A","Nord - 6","62 809 €","31 405 €"
"M. HILDEBRANDT Adrian","0","0","0","0","0","0","0","0","0","0","A","Nord - 6","62 809 €","31 405 €"
"Mme MONTEIL Laurence","31 444","31 450","0","0","0","0","31 450","6","0","31 405","A","Nord - 6","62 809 €","31 405 €"
"Mme SARDOU Sarah","15","15","0","15","0","0","0","0","0","0","A","Nord - 6","62 809 €","31 405 €"
"Mme SAVARY Nadine","5 689","5 689","0","0","0","0","5 689","0","0","0","A","Nord - 6","62 809 €","31 405 €"
"Mme TAILLEZ Violaine","0","0","0","0","0","0","0","0","0","0","A","Nord - 6","62 809 €","31 405 €"
"Mme VAN ENGELANDT Isabelle","0","0","0","0","0","0","0","0","0","0","A","Nord - 6","62 809 €","31 405 €"
"Mme COLAS Isabelle","0","0","0","0","0","0","0","0","0","0","A","Nord - 7","64 528 €","32 264 €"
"Mme DELBARRE Françoise","370","370","0","331","39","0","0","0","0","0","A","Nord - 7","64 528 €","32 264 €"
"M. MORTAL Patrick","232","232","0","232","0","0","0","0","0","0","A","Nord - 7","64 528 €","32 264 €"
"M. VAN ENGELANDT Luc","0","0","0","0","0","0","0","0","0","0","A","Nord - 7","64 528 €","32 264 €"
"Claude","0","0","0","0","0","0","0","0","0","0","A","Nord - 7","64 528 €","32 264 €"
"M. BAERT Dominique","43 088","43 088","5 428","800","0","0","36 860","0","0","32 652","A","Nord - 8","65 304 €","32 652 €"
"M. BAEYAERT Patrick","0","0","0","0","0","0","0","0","0","0","A","Nord - 8","65 304 €","32 652 €"
"M. BLOOTACKER Jean-Claude","0","0","0","0","0","0","0","0","0","0","A","Nord - 8","65 304 €","32 652 €"
"Mme LESCOUF Claudine","0","0","0","0","0","0","0","0","0","0","A","Nord - 8","65 304 €","32 652 €"
"Mme MENOUER Fatma","2 438","2 438","0","0","0","0","2 438","0","0","0","A","Nord - 8","65 304 €","32 652 €"
"Mme RAHNI Zahia","2 014","2 014","0","2 014","0","0","0","0","0","0","A","Nord - 8","65 304 €","32 652 €"
"M. RIZOUG Rachid","0","0","0","0","0","0","0","0","0","0","A","Nord - 8","65 304 €","32 652 €"
"Mme SARAZIN Chantal","356","356","0","317","39","0","0","0","0","0","A","Nord - 8","65 304 €","32 652 €"
"M. BECOURT Thierry","0","0","0","0","0","0","0","0","0","0","A","Nord - 9","61 964 €","30 982 €"
"Mme BOUFFIOUX Ingrid","50","50","0","50","0","0","0","0","0","0","A","Nord - 9","61 964 €","30 982 €"
"M. BUTEZ Frédéric","18 564","18 767","0","0","0","0","18 767","203","0","0","A","Nord - 9","61 964 €","30 982 €"
"M. COMPERE Daniel","1 253","1 253","0","1 253","0","0","0","0","0","0","A","Nord - 9","61 964 €","30 982 €"
"M. GAUMY Rainier","0","0","0","0","0","0","0","0","0","0","A","Nord - 9","61 964 €","30 982 €"
"M. KORB André","395","395","0","356","39","0","0","0","0","0","A","Nord - 9","61 964 €","30 982 €"
"Mme NICOLET Laetitia","0","0","0","0","0","0","0","0","0","0","A","Nord - 9","61 964 €","30 982 €"
"M. PHELIPPEAU Yann","0","0","0","0","0","0","0","0","0","0","A","Nord - 9","61 964 €","30 982 €"
"Mme AZMY Najat","22 565","22 565","0","2 455","0","0","20 110","0","0","0","R","Nord - 10","64 503 €","32 252 €"
"Mme CIRJEAN Simina","0","0","0","0","0","0","0","0","0","0","A","Nord - 10","64 503 €","32 252 €"
"M. DEBLIQUI Régis","417","417","0","378","39","0","0","0","0","0","A","Nord - 10","64 503 €","32 252 €"
"M. DESPIERRE Bernard","2 834","2 834","0","2 834","0","0","0","0","0","0","A","Nord - 10","64 503 €","32 252 €"
"Mme HERNOULT Laurence","0","0","0","0","0","0","0","0","0","0","A","Nord - 10","64 503 €","32 252 €"
"M. LAMBRÉ Alain","3 562","3 562","0","0","0","0","3 562","0","0","0","A","Nord - 10","64 503 €","32 252 €"
"M. LEGAUFFRE David","0","0","0","0","0","0","0","0","0","0","A","Nord - 10","64 503 €","32 252 €"
"M. MERLEVEDE Yann","50","50","0","50","0","0","0","0","0","0","A","Nord - 10","64 503 €","32 252 €"
"Mme RISBOURG Pascale","127","350","0","350","0","0","0","223","223","0","A","Nord - 10","64 503 €","32 252 €"
"M. VANNESTE Christian","49 349","49 349","12 737","0","1 677","280","34 655","0","0","32 252","A","Nord - 10","64 503 €","32 252 €"
"M. BÉAGUE Frédéric","0","0","0","0","0","0","0","0","0","0","A","Nord - 11","65 688 €","32 844 €"
"M. BRIQUET Didier","0","0","0","0","0","0","0","0","0","0","A","Nord - 11","65 688 €","32 844 €"
"Mme CHERPIN Priscilla","0","0","0","0","0","0","0","0","0","0","A","Nord - 11","65 688 €","32 844 €"
"Mme DALEUX Lise","1 729","1 729","0","1 729","0","0","0","0","0","0","A","Nord - 11","65 688 €","32 844 €"
"Mme LOEUIL Sylvie","0","0","0","0","0","0","0","0","0","0","A","Nord - 11","65 688 €","32 844 €"
"M. MARTIN Claude","374","374","0","370","4","0","0","0","0","0","A","Nord - 11","65 688 €","32 844 €"
"Mme MICHEL Bérengère","0","0","0","0","0","0","0","0","0","0","A","Nord - 11","65 688 €","32 844 €"
"M. VANCOMERBEKE Jean","38","38","0","38","0","0","0","0","0","0","A","Nord - 11","65 688 €","32 844 €"
"Mme BEURAERT Martine","1 109","1 109","0","1 109","0","0","0","0","0","0","A","Nord - 12","62 922 €","31 461 €"
"Mme BOUREL Laure","298","298","0","287","11","0","0","0","0","0","A","Nord - 12","62 922 €","31 461 €"
"M. CUVELIER Roger","0","0","0","0","0","0","0","0","0","0","A","Nord - 12","62 922 €","31 461 €"
"M. HERNOULT Maurice","0","0","0","0","0","0","0","0","0","0","A","Nord - 12","62 922 €","31 461 €"
"M. HUTIN Christian","41 954","41 954","23 155","0","0","0","18 799","0","0","18 799","A","Nord - 12","62 922 €","31 461 €"
"M. LEBRUN Patrick","0","0","0","0","0","0","0","0","0","0","A","Nord - 12","62 922 €","31 461 €"
"M. MADACSI Sylvain","68","68","0","68","0","0","0","0","0","0","A","Nord - 12","62 922 €","31 461 €"
"Mme MONTERO Muriel","3 045","3 045","0","0","3 045","0","0","0","0","0","A","Nord - 12","62 922 €","31 461 €"
"M. PANIER Léon","15 722","15 722","0","0","0","0","15 722","0","0","15 722","A","Nord - 12","62 922 €","31 461 €"
"M. WILLEMAN Gilles","5 924","5 924","0","0","0","0","5 924","0","0","0","A","Nord - 12","62 922 €","31 461 €"
"Mme BIGNARDI Cindy","811","813","520","293","0","0","0","2","2","0","A","Nord - 13","61 107 €","30 554 €"
"Mme BOUREL Janine","0","0","0","0","0","0","0","0","0","0","A","Nord - 13","61 107 €","30 554 €"
"Mme DEBOVE Claudine","0","0","0","0","0","0","0","0","0","0","A","Nord - 13","61 107 €","30 554 €"
"M. DESWARTE José","68","68","0","68","0","0","0","0","0","0","A","Nord - 13","61 107 €","30 554 €"
"M. HAEZEBROUCK Patrice","7 903","7 903","1 090","0","0","0","6 813","0","0","0","A","Nord - 13","61 107 €","30 554 €"
"Sandrine","11 412","11 412","0","10 000","0","0","1 412","0","0","0","R","Nord - 13","61 107 €","30 554 €"
"M. LOPES Paulo-Serge","1 076","1 076","0","1 076","0","0","0","0","0","0","A","Nord - 13","61 107 €","30 554 €"
"Mme MALTESE Ursula","20 118","20 150","0","20 150","0","0","0","32","32","0","A","Nord - 13","61 107 €","30 554 €"
"M. NOWÉ Patrick","0","0","0","0","0","0","0","0","0","0","A","Nord - 13","61 107 €","30 554 €"
"M. VOLANT Jacques","347","347","0","336","11","0","0","0","0","0","A","Nord - 13","61 107 €","30 554 €"
"Mme BAROIS Annie","0","10","0","0","0","0","10","10","0","0","A","Nord - 14","60 953 €","30 477 €"
"Mme BOUZAT Marie","82","82","0","82","0","0","0","0","0","0","A","Nord - 14","60 953 €","30 477 €"
"M. DECOOL Jean-Pierre","23 895","23 895","2 000","9 700","260","0","11 935","0","0","11 935","A","Nord - 14","60 953 €","30 477 €"
"M. DUPUICH David","339","339","0","326","13","0","0","0","0","0","A","Nord - 14","60 953 €","30 477 €"
"M. HUGUES Laurence","1 186","1 186","0","1 186","0","0","0","0","0","0","A","Nord - 14","60 953 €","30 477 €"
"Mme LEFORT Victoire","0","0","0","0","0","0","0","0","0","0","A","Nord - 14","60 953 €","30 477 €"
"M. LEGAREZ Jean-Luc","0","0","0","0","0","0","0","0","0","0","A","Nord - 14","60 953 €","30 477 €"
"M. LESSIEUX Roger","31 638","31 650","0","0","0","0","31 650","12","0","30 477","A","Nord - 14","60 953 €","30 477 €"
"Mme POTVIN-BELET Séverine","7 557","15 600","0","0","0","0","15 600","8 043","0","7 557","A","Nord - 14","60 953 €","30 477 €"
"Mme SECRET Agnès","0","0","0","0","0","0","0","0","0","0","A","Nord - 14","60 953 €","30 477 €"
"M. WEXSTEEN Daniel","0","0","0","0","0","0","0","0","0","0","A","Nord - 14","60 953 €","30 477 €"
"Mme ABADIE Anne","0","0","0","0","0","0","0","0","0","0","A","Nord - 15","61 585 €","30 793 €"
"Mme CYPRYSZCZAK Sandrine","29","29","0","29","0","0","0","0","0","0","A","Nord - 15","61 585 €","30 793 €"
"Mme DESRAYAUD Sandrine","345","345","0","331","14","0","0","0","0","0","A","Nord - 15","61 585 €","30 793 €"
"Mme DUCHET Marie","30 333","31 000","0","0","0","0","31 000","667","0","30 333","A","Nord - 15","61 585 €","30 793 €"
"M. HALLYNCK Dominique","17 789","17 789","2 260","0","0","0","15 529","0","0","15 529","A","Nord - 15","61 585 €","30 793 €"
"Mme HOSTALIER Françoise","20 285","20 285","1 335","11 700","1 420","0","5 830","0","0","5 830","A","Nord - 15","61 585 €","30 793 €"
"M. LEROY Christophe","0","0","0","0","0","0","0","0","0","0","A","Nord - 15","61 585 €","30 793 €"
"M. PLOUVIER Jean-François","0","0","0","0","0","0","0","0","0","0","A","Nord - 15","61 585 €","30 793 €"
"Mme SECRET Suzanne","0","0","0","0","0","0","0","0","0","0","A","Nord - 15","61 585 €","30 793 €"
"Mme VEIT-TORREZ Béatrice","1 631","1 631","0","0","0","0","1 631","0","0","0","A","Nord - 15","61 585 €","30 793 €"
"Mme VERBRUGGHE Ginette","1 466","1 466","0","1 143","323","0","0","0","0","0","A","Nord - 15","61 585 €","30 793 €"
"M. BERNARD Philippe","1 245","1 245","0","1 245","0","0","0","0","0","0","A","Nord - 16","65 013 €","32 507 €"
"Mme DELEVALLET Monique","27 434","27 434","0","0","4","0","27 430","0","0","27 430","A","Nord - 16","65 013 €","32 507 €"
"Mme DESMARETZ Thérèse","0","0","0","0","0","0","0","0","0","0","A","Nord - 16","65 013 €","32 507 €"
"M. ERRERA-MULLER Angelo","29 574","38 831","2 930","0","0","0","35 901","9 257","0","0","A","Nord - 16","65 013 €","32 507 €"
"Mme LENGLIN Jocelyne","0","0","0","0","0","0","0","0","0","0","A","Nord - 16","65 013 €","32 507 €"
"M. LEROY Philippe","3 080","3 080","0","3 080","0","0","0","0","0","0","A","Nord - 16","65 013 €","32 507 €"
"Mme L’HOSTIS Florence","404","404","0","383","21","0","0","0","0","0","A","Nord - 16","65 013 €","32 507 €"
"Mme PERLICAN Rolande","0","0","0","0","0","0","0","0","0","0","A","Nord - 16","65 013 €","32 507 €"
"M. TONNEL Gérard","0","0","0","0","0","0","0","0","0","0","A","Nord - 16","65 013 €","32 507 €"
"M. VELDEMAN Christian","98","98","0","98","0","0","0","0","0","0","A","Nord - 16","65 013 €","32 507 €"
"Mme COQUELLE Marie-Andrée","917","917","0","917","0","0","0","0","0","0","A","Nord - 17","64 401 €","32 201 €"
"Paule","27 494","27 494","0","0","0","0","27 494","0","0","27 494","A","Nord - 17","64 401 €","32 201 €"
"M. DOLEZ Marc","28 349","28 349","2 252","900","0","0","25 197","0","0","25 197","A","Nord - 17","64 401 €","32 201 €"
"M. GRAS Yves","0","0","0","0","0","0","0","0","0","0","A","Nord - 17","64 401 €","32 201 €"
"Mme MANSON Martine","0","0","0","0","0","0","0","0","0","0","A","Nord - 17","64 401 €","32 201 €"
"M. MARIE Roger","324","324","0","303","21","0","0","0","0","0","A","Nord - 17","64 401 €","32 201 €"
"Mme NIHOUS Hélène","0","0","0","0","0","0","0","0","0","0","A","Nord - 17","64 401 €","32 201 €"
"M. NOWECKI Richard","0","0","0","0","0","0","0","0","0","0","A","Nord - 17","64 401 €","32 201 €"
"M. PELLETIER Robert","98","98","0","98","0","0","0","0","0","0","A","Nord - 17","64 401 €","32 201 €"
"Mme PROUVOST Françoise","34 905","34 905","2 600","9 700","2 893","0","19 712","0","0","19 712","A","Nord - 17","64 401 €","32 201 €"
"Mme YAHIA Djhorra","0","0","0","0","0","0","0","0","0","0","A","Nord - 17","64 401 €","32 201 €"
"Mme BAZIN Josiane","0","0","0","0","0","0","0","0","0","0","A","Nord - 18","63 795 €","31 898 €"
"M. BITTNER Denis","0","0","0","0","0","0","0","0","0","0","A","Nord - 18","63 795 €","31 898 €"
"M. BUIL Guillaume","0","0","0","0","0","0","0","0","0","0","A","Nord - 18","63 795 €","31 898 €"
"Mme DESSAINT Colette","7 945","7 945","0","0","0","0","7 945","0","0","7 945","A","Nord - 18","63 795 €","31 898 €"
"Mme DISDIER Mélanie","30 381","30 381","65","0","0","0","30 316","0","0","30 316","A","Nord - 18","63 795 €","31 898 €"
"Mme DOUAY Brigitte","28 126","28 126","105","800","305","0","26 916","0","0","26 916","A","Nord - 18","63 795 €","31 898 €"
"Mme DUPUY NOGIER Isabelle","0","0","0","0","0","0","0","0","0","0","A","Nord - 18","63 795 €","31 898 €"
"Mme GLATKOWSKI Eve","15","15","0","15","0","0","0","0","0","0","A","Nord - 18","63 795 €","31 898 €"
"M. GRIMONPREZ Daniel","0","0","0","0","0","0","0","0","0","0","A","Nord - 18","63 795 €","31 898 €"
"Mlle JANISSET Hélène","461","461","0","370","3","0","88","0","0","0","A","Nord - 18","63 795 €","31 898 €"
"Chantal","917","917","0","917","0","0","0","0","0","0","A","Nord - 18","63 795 €","31 898 €"
"M. TRANOY Sylvain","30 387","30 387","250","0","0","0","30 137","0","0","30 137","A","Nord - 18","63 795 €","31 898 €"
"M. VILLAIN François-Xavier","51 977","51 977","20 995","9 700","0","0","21 282","0","0","21 282","A","Nord - 18","63 795 €","31 898 €"
"M. ADAMS Raymond","173","173","0","173","0","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. BAHRI Nordine","0","0","0","0","0","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. BERTHÉ Benoît","917","917","0","917","0","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. BOUCOT Jacky","345","345","0","319","26","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. BOUTHILLIER Grégoire","0","0","0","0","0","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. DECALLONNE Bernard","0","0","0","0","0","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. DUBOIS Daniel","0","0","0","0","0","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. FABRE Pierre","0","0","0","0","0","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. NOTARIANNI Antonio","2 134","2 134","2 130","0","0","0","4","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. PLOUVIER Dominique","3 045","3 045","0","0","3 045","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. ROY Patrick","33 717","33 717","0","1 960","0","0","31 757","0","0","31 757","A","Nord - 19","65 467 €","32 734 €"
"M. THOMES Serge","30 155","30 155","75","0","200","0","29 880","0","0","29 880","A","Nord - 19","65 467 €","32 734 €"
"Mme TOÏA Battistina","0","0","0","0","0","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"Mme WACRENIER Claire","0","0","0","0","0","0","0","0","0","0","A","Nord - 19","65 467 €","32 734 €"
"M. BISMAN Stéphane","0","0","0","0","0","0","0","0","0","0","A","Nord - 20","65 245 €","32 623 €"
"M. BRUNEBARBE Jean-Claude","1 232","1 232","0","1 232","0","0","0","0","0","0","A","Nord - 20","65 245 €","32 623 €"
"M. CASTELAIN Eric","25 287","25 700","200","0","0","0","25 500","413","0","25 087","A","Nord - 20","65 245 €","32 623 €"
"M. CAUDRON Jacques","434","434","0","403","31","0","0","0","0","0","A","Nord - 20","65 245 €","32 623 €"
"Mme DUBOIS Annette","0","0","0","0","0","0","0","0","0","0","A","Nord - 20","65 245 €","32 623 €"
"Mme GARCIA Marie-Thérèse","33 673","39 012","0","10 700","0","0","28 312","5 339","0","0","R","Nord - 20","65 245 €","32 623 €"
"Mme HUON Monique","0","0","0","0","0","0","0","0","0","0","A","Nord - 20","65 245 €","32 623 €"
"Mlle ROEST Helyette","173","173","0","173","0","0","0","0","0","0","A","Nord - 20","65 245 €","32 623 €"
"Mme BITTNER Katia","1 186","1 186","0","1 186","0","0","0","0","0","0","A","Nord - 21","65 580 €","32 790 €"
"M. DUGARDIN Noël","0","0","0","0","0","0","0","0","0","0","A","Nord - 21","65 580 €","32 790 €"
"Mme GILBERT Laurence","0","0","0","0","0","0","0","0","0","0","A","Nord - 21","65 580 €","32 790 €"
"Mme JOBBE DUVAL Béatrice","0","0","0","0","0","0","0","0","0","0","A","Nord - 21","65 580 €","32 790 €"
"M. LEBRUN Luc","0","0","0","0","0","0","0","0","0","0","A","Nord - 21","65 580 €","32 790 €"
"M. PECQUEUR Eric","383","383","0","352","31","0","0","0","0","0","A","Nord - 21","65 580 €","32 790 €"
"M. ROUSSEL Vincent","0","0","0","0","0","0","0","0","0","0","A","Nord - 21","65 580 €","32 790 €"
"M. SLABOLEPSZY Dominique","35 719","35 719","160","486","0","140","34 933","0","0","32 790","A","Nord - 21","65 580 €","32 790 €"
"Mme WATTEL Anne","173","173","0","173","0","0","0","0","0","0","A","Nord - 21","65 580 €","32 790 €"
"Mme DELNATTE Brigitte","0","0","0","0","0","0","0","0","0","0","A","Nord - 22","62 142 €","31 071 €"
"M. DILLIES Xavier","0","0","0","0","0","0","0","0","0","0","A","Nord - 22","62 142 €","31 071 €"
"M. DISDIER Jacques","25 935","25 935","0","0","0","0","25 935","0","0","25 935","A","Nord - 22","62 142 €","31 071 €"
"M. GHEZAL Mostafa","917","917","0","917","0","0","0","0","0","0","A","Nord - 22","62 142 €","31 071 €"
"Mme MERCIER Cécile","13 660","0","0","0","0","0","0","–13660","0","0","R","Nord - 22","62 142 €","31 071 €"
"M. PRALAT Serge","80","80","0","80","0","0","0","0","0","0","A","Nord - 22","62 142 €","31 071 €"
"Mme RONDEAUX Marie-Claude","419","419","0","406","13","0","0","0","0","0","A","Nord - 22","62 142 €","31 071 €"
"M. SEMAILLE Bruno","0","0","0","0","0","0","0","0","0","0","A","Nord - 22","62 142 €","31 071 €"
"M. ACHOUR Nasser","917","917","0","917","0","0","0","0","0","0","A","Nord - 23","62 674 €","31 338 €"
"M. ALLAIN Jean-Marie","2 533","2 533","450","100","0","0","1 983","0","0","0","A","Nord - 23","62 674 €","31 338 €"
"Mme BITTNER Anne","0","0","0","0","0","0","0","0","0","0","A","Nord - 23","62 674 €","31 338 €"
"M. DEMARTHE Alain","0","0","0","0","0","0","0","0","0","0","A","Nord - 23","62 674 €","31 338 €"
"Mme DUMETZ Aurore","15","15","0","15","0","0","0","0","0","0","A","Nord - 23","62 674 €","31 338 €"
"Mme DUPONT Martine","396","396","0","375","21","0","0","0","0","0","A","Nord - 23","62 674 €","31 338 €"
"M. LANG Carl","31 685","31 685","0","0","0","0","31 685","0","0","31 337","A","Nord - 23","62 674 €","31 338 €"
"M. ROMBEAUT Jean-Pierre","14 955","14 965","1 865","0","0","0","13 100","10","0","0","A","Nord - 23","62 674 €","31 338 €"
"M. SAUVEPLANE Michel","0","0","0","0","0","0","0","0","0","0","A","Nord - 23","62 674 €","31 338 €"
"M. AMAT Gérard","0","0","0","0","0","0","0","0","0","0","A","Nord - 24","61 073 €","30 537 €"
"Mme BAEYAERT Yvette-Nicole","0","0","0","0","0","0","0","0","0","0","A","Nord - 24","61 073 €","30 537 €"
"Mme BAUDIN Ghislaine","133","133","133","0","0","0","0","0","0","0","A","Nord - 24","61 073 €","30 537 €"
"M. COURNUT Jean-Charles","408","408","0","387","21","0","0","0","0","0","A","Nord - 24","61 073 €","30 537 €"
"M. DENYS Thierry","2 674","2 674","0","2 660","14","0","0","0","0","0","A","Nord - 24","61 073 €","30 537 €"
"M. DUTRON Guy","17 931","17 931","0","0","0","0","17 931","0","0","0","R","Nord - 24","61 073 €","30 537 €"
"Danielle","0","0","0","0","0","0","0","0","0","0","A","Nord - 24","61 073 €","30 537 €"
"M. MACHART Jean-Pierre","114","114","0","114","0","0","0","0","0","0","A","Nord - 24","61 073 €","30 537 €"
"M. POYART Alain","39 092","39 092","9 440","9 700","0","0","19 952","0","0","19 952","A","Nord - 24","61 073 €","30 537 €"
"Marie-Odile","7 765","7 765","885","0","0","0","6 880","0","0","0","A","Nord - 24","61 073 €","30 537 €"
"M. AURY Thierry","3 166","3 166","0","3 166","0","0","0","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"M. CABOCHE Daniel","0","0","0","0","0","0","0","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"M. CERVERA Jean-Baptiste","3 028","3 028","1 225","0","0","0","1 803","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"M. DASSAULT Olivier","45 765","45 765","0","9 700","242","0","35 823","0","0","31 976","A","Oise - 1","63 952 €","31 977 €"
"Mme DE LARDEMELLE Myriam","0","0","0","0","0","0","0","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"Mme DESBROUSSES Géraldine","0","0","0","0","0","0","0","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"M. HAUET Gabriel","15","15","0","15","0","0","0","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"M. JOLY Thomas","30 373","30 373","0","0","217","0","30 156","0","0","30 156","A","Oise - 1","63 952 €","31 977 €"
"M. LAGNEAU Frédéric","1 160","1 160","0","349","0","0","811","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"Mme LASSARRE Angéline","360","360","0","332","28","0","0","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"M. MARDYLA Eric","1 609","1 609","1 609","0","0","0","0","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"M. RINS Sébastien","0","0","0","0","0","0","0","0","0","0","A","Oise - 1","63 952 €","31 977 €"
"M. RIQUET Olivier","15 691","20 500","0","0","0","0","20 500","4 809","0","0","R","Oise - 1","63 952 €","31 977 €"
"M. WITTENDAL Joël","35","40","40","0","0","0","0","5","5","0","A","Oise - 1","63 952 €","31 977 €"
"Mme BOYELDIEU Marie-France","2 837","2 837","0","2 834","0","0","3","0","0","0","A","Oise - 2","64 825 €","32 413 €"
"M. GANIER Philippe","0","0","0","0","0","0","0","0","0","0","A","Oise - 2","64 825 €","32 413 €"
"M. GIRET Jean-Claude","4 986","4 986","3 486","1 500","0","0","0","0","0","0","A","Oise - 2","64 825 €","32 413 €"
"M. LECURU Régis","1 335","1 340","1 340","0","0","0","0","5","5","0","A","Oise - 2","64 825 €","32 413 €"
