"candidat","depensestotales","recettestotales","dons","appartspartis","concoursnature","autres","perso","soldescompte","DEV","RFE","DECCNCCFP"
"Martine","1 967
1 967","1 967
1 967","0
0","0
0","0
0","0
0","1 967
1 967","0
0","0","0","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"379"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 10</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 64 503","€",,,,,,,,,,
"Remboursement maximum : 32 252",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme AZMY Najat","22 565","22 565","0","2 455","0","0","20 110","0","0","0","R"
"M. BAECKEROOT Christian","28 990
28 730","32 350
32 090","0
0","0
0","0
0","0
0","32 350
32 090","3 360
3 360","0","28 730","AR"
"Mme CIRJEAN Simina","0","0","0","0","0","0","0","0","0","0","A"
"M. DEBLIQUI Régis","417","417","0","378","39","0","0","0","0","0","A"
"M. DESPIERRE Bernard","2 834","2 834","0","2 834","0","0","0","0","0","0","A"
"Mme HEIBLÉ Marie-Paule","14 322
14 011","14 322
14 011","0
0","0
0","0
0","0
0","14 322
14 011","0
0","0","14 011","AR"
"Mme HERNOULT Laurence","0","0","0","0","0","0","0","0","0","0","A"
"M. LAMBRÉ Alain","3 562","3 562","0","0","0","0","3 562","0","0","0","A"
"M. LEGAUFFRE David","0","0","0","0","0","0","0","0","0","0","A"
"M. MERLEVEDE Yann","50","50","0","50","0","0","0","0","0","0","A"
"Mme RISBOURG Pascale","127","350","0","350","0","0","0","223","223","0","A"
"M. VANNESTE Christian","49 349","49 349","12 737","0","1 677","280","34 655","0","0","32 252","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"380","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 11</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 65 688","€",,,,,,,,,,
"Remboursement maximum : 32 844",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BÉAGUE Frédéric","0","0","0","0","0","0","0","0","0","0","A"
"M. BOCQUET Eric","12 306
12 020","12 306
12 020","0
0","0
0","0
0","0
0","12 306
12 020","0
0","0","12 020","AR"
"Mme BRAME Brigitte","19 433
19 139","19 433
19 139","0
0","0
0","0
0","0
0","19 433
19 139","0
0","0","19 139","AR"
"M. BRIQUET Didier","0","0","0","0","0","0","0","0","0","0","A"
"Mme CHERPIN Priscilla","0","0","0","0","0","0","0","0","0","0","A"
"Mme DALEUX Lise","1 729","1 729","0","1 729","0","0","0","0","0","0","A"
"M. DURAND Yves","43 688
39 097","43 688
39 097","1 140
1 140","5 293
5 293","0
0","0
0","37 255
32 664","0
0","0","32 664","AR"
"Mme LOEUIL Sylvie","0","0","0","0","0","0","0","0","0","0","A"
"M. MARTIN Claude","374","374","0","370","4","0","0","0","0","0","A"
"Mme MICHEL Bérengère","0","0","0","0","0","0","0","0","0","0","A"
"M. PECHARMAN Luc","32 069
31 015","33 162
32 108","0
0","0
0","0
0","0
0","33 162
32 108","1 093
1 093","0","31 015","AR"
"M. VANCOMERBEKE Jean","38","38","0","38","0","0","0","0","0","0","A"
"M. WAYMEL Philippe","46 674
44 433","47 044
44 803","4 500
4 500","9 700
9 700","0
0","0
0","32 844
30 603","370
370","0","30 233","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"381"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 12</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 62 922","€",,,,,,,,,,
"Remboursement maximum : 31 461",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BEURAERT Martine","1 109","1 109","0","1 109","0","0","0","0","0","0","A"
"Mme BOUREL Laure","298","298","0","287","11","0","0","0","0","0","A"
"M. CUVELIER Roger","0","0","0","0","0","0","0","0","0","0","A"
"Mme GABANT Jacqueline","17 840
17 340","17 840
17 340","1 973
1 973","10 700
10 700","0
0","0
0","5 167
4 667","0
0","0","4 667","AR"
"Mme GALL Jeannine",,,,,,,,,"0","0","AD"
"M. HERNOULT Maurice","0","0","0","0","0","0","0","0","0","0","A"
"M. HUTIN Christian","41 954","41 954","23 155","0","0","0","18 799","0","0","18 799","A"
"M. LE FLOC’H Yannick","30 185
29 558","31 500
30 873","0
0","0
0","0
0","0
0","31 500
30 873","1 315
1 315","0","29 558","AR"
"M. LEBRUN Patrick","0","0","0","0","0","0","0","0","0","0","A"
"M. MADACSI Sylvain","68","68","0","68","0","0","0","0","0","0","A"
"Mme MONTERO Muriel","3 045","3 045","0","0","3 045","0","0","0","0","0","A"
"M. PANIER Léon","15 722","15 722","0","0","0","0","15 722","0","0","15 722","A"
"Mme SURGERS Pilar","27 972
21 930","28 000
21 958","0
0","0
0","0
0","0
0","28 000
21 958","28
28","0","0","AR"
"M. WILLEMAN Gilles","5 924","5 924","0","0","0","0","5 924","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"382","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 13</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 61 107","€",,,,,,,,,,
"Remboursement maximum : 30 554",,"€",,,,,,,,"Scrutin contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BIGNARDI Cindy","811","813","520","293","0","0","0","2","2","0","A"
"Mme BOUREL Janine","0","0","0","0","0","0","0","0","0","0","A"
"Mme DE MIRIBEL Véronique","9 036
3 131","9 036
9 024","8 900
8 900","0
0","124
124","0
0","12
0","0
5 893","0","0","AR"
"Mme DEBOVE Claudine","0","0","0","0","0","0","0","0","0","0","A"
"M. DELEBARRE Michel","51 884
51 468","51 884
51 468","28 732
28 732","800
800","0
0","0
0","22 352
21 936","0
0","0","21 936","AR"
"M. DESWARTE José","68","68","0","68","0","0","0","0","0","0","A"
"M. DHERSIN Franck","42 223
41 654","42 223
41 654","6 340
6 340","11 700
11 700","0
0","0
0","24 183
23 614","0
0","0","23 614","AR"
"M. HAEZEBROUCK Patrice","7 903","7 903","1 090","0","0","0","6 813","0","0","0","A"
"Mme LEJEUNE-LE PALLAC",,,,,,,,,,,
"Sandrine","11 412","11 412","0","10 000","0","0","1 412","0","0","0","R"
"M. LOPES Paulo-Serge","1 076","1 076","0","1 076","0","0","0","0","0","0","A"
"Mme MALTESE Ursula","20 118","20 150","0","20 150","0","0","0","32","32","0","A"
"M. NOWÉ Patrick","0","0","0","0","0","0","0","0","0","0","A"
"M. VOLANT Jacques","347","347","0","336","11","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"383"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Circoncription : Nord - 14</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 60 953","€",,,,,,,,,,
"Remboursement maximum : 30 477",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BAROIS Annie","0","10","0","0","0","0","10","10","0","0","A"
"M. BASSEMON Francis","15 909
14 655","16 050
14 796","0
0","0
0","0
0","0
0","16 050
14 796","141
141","0","14 655","AR"
"Mme BOUZAT Marie","82","82","0","82","0","0","0","0","0","0","A"
"M. DECOOL Jean-Pierre","23 895","23 895","2 000","9 700","260","0","11 935","0","0","11 935","A"
"M. DUPUICH David","339","339","0","326","13","0","0","0","0","0","A"
"M. HUGUES Laurence","1 186","1 186","0","1 186","0","0","0","0","0","0","A"
"Mme LEFORT Victoire","0","0","0","0","0","0","0","0","0","0","A"
"M. LEGAREZ Jean-Luc","0","0","0","0","0","0","0","0","0","0","A"
"M. LESSIEUX Roger","31 638","31 650","0","0","0","0","31 650","12","0","30 477","A"
"Mme POTVIN-BELET Séverine","7 557","15 600","0","0","0","0","15 600","8 043","0","7 557","A"
"Mme SECRET Agnès","0","0","0","0","0","0","0","0","0","0","A"
"M. WEXSTEEN Daniel","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"384","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 15</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 61 585","€",,,,,,,,,,
"Remboursement maximum : 30 793",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme ABADIE Anne","0","0","0","0","0","0","0","0","0","0","A"
"Mme CYPRYSZCZAK Sandrine","29","29","0","29","0","0","0","0","0","0","A"
"Mme DESRAYAUD Sandrine","345","345","0","331","14","0","0","0","0","0","A"
"Mme DUCHET Marie","30 333","31 000","0","0","0","0","31 000","667","0","30 333","A"
"M. HALLYNCK Dominique","17 789","17 789","2 260","0","0","0","15 529","0","0","15 529","A"
"Mme HOSTALIER Françoise","20 285","20 285","1 335","11 700","1 420","0","5 830","0","0","5 830","A"
"M. LALINE Bruno",,,,,,,,,"0","0","AD"
"M. LEROY Christophe","0","0","0","0","0","0","0","0","0","0","A"
"M. NORMAND Marc","17 705
17 239","32 710
32 244","1 000
1 000","0
0","1 485
1 485","0
0","30 225
29 759","15 005
15 005","0","14 754","AR"
"M. PLOUVIER Jean-François","0","0","0","0","0","0","0","0","0","0","A"
"Mme POLNECQ Françoise","35 053
34 794","35 053
34 794","2 360
2 360","1 357
1 357","3 369
3 369","0
0","27 967
27 708","0
0","0","27 708","AR"
"Mme SECRET Suzanne","0","0","0","0","0","0","0","0","0","0","A"
"Mme VEIT-TORREZ Béatrice","1 631","1 631","0","0","0","0","1 631","0","0","0","A"
"Mme VERBRUGGHE Ginette","1 466","1 466","0","1 143","323","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"385"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 16</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 65 013","€",,,,,,,,,,
"Remboursement maximum : 32 507",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BERNARD Philippe","1 245","1 245","0","1 245","0","0","0","0","0","0","A"
"M. BRACQ Jean-Jacques","0","0","0","0","0","0","0","0","0","0","HD"
"M. CANDELIER Jean-Jacques","44 717
41 423","44 717
41 423","0
0","0
0","0
0","0
0","44 717
41 423","0
0","0","32 507","AR"
"Mme DELEVALLET Monique","27 434","27 434","0","0","4","0","27 430","0","0","27 430","A"
"Mme DERAIN Michelle","35 615
33 815","35 850
34 050","150
150","10 700
10 700","0
0","0
0","25 000
23 200","235
235","0","22 965","AR"
"Mme DESMARETZ Thérèse","0","0","0","0","0","0","0","0","0","0","A"
"M. ERRERA-MULLER Angelo","29 574","38 831","2 930","0","0","0","35 901","9 257","0","0","A"
"Mme LENGLIN Jocelyne","0","0","0","0","0","0","0","0","0","0","A"
"M. LEROY Philippe","3 080","3 080","0","3 080","0","0","0","0","0","0","A"
"Mme L’HOSTIS Florence","404","404","0","383","21","0","0","0","0","0","A"
"Mme MARQUAILLE Jeannine","38 560
37 029","38 560
37 029","765
765","800
800","607
607","0
0","36 388
34 857","0
0","0","32 507","AR"
"Mme PERLICAN Rolande","0","0","0","0","0","0","0","0","0","0","A"
"M. TONNEL Gérard","0","0","0","0","0","0","0","0","0","0","A"
"M. VELDEMAN Christian","98","98","0","98","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"386","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 17</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 64 401","€",,,,,,,,,,
"Remboursement maximum : 32 201",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BECAR-ROJEE Dominique","1 247","3 650","600","0","0","0","3 050","2 403","0","0","HD"
"Mme COQUELLE Marie-Andrée","917","917","0","917","0","0","0","0","0","0","A"
"Mme DARCHICOURT Marie-",,,,,,,,,,,
"Paule","27 494","27 494","0","0","0","0","27 494","0","0","27 494","A"
"M. DOLEZ Marc","28 349","28 349","2 252","900","0","0","25 197","0","0","25 197","A"
"M. GRAS Yves","0","0","0","0","0","0","0","0","0","0","A"
"Mme MANSON Martine","0","0","0","0","0","0","0","0","0","0","A"
"M. MARIE Roger","324","324","0","303","21","0","0","0","0","0","A"
"M. MICHON Jacques","18 005
16 029","18 005
16 029","0
0","0
0","0
0","0
0","18 005
16 029","0
0","0","16 029","AR"
"Mme NIHOUS Hélène","0","0","0","0","0","0","0","0","0","0","A"
"M. NOWECKI Richard","0","0","0","0","0","0","0","0","0","0","A"
"M. PELLETIER Robert","98","98","0","98","0","0","0","0","0","0","A"
"Mme PROUVOST Françoise","34 905","34 905","2 600","9 700","2 893","0","19 712","0","0","19 712","A"
"Mme YAHIA Djhorra","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"387"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 18</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 63 795","€",,,,,,,,,,
"Remboursement maximum : 31 898",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BAZIN Josiane","0","0","0","0","0","0","0","0","0","0","A"
"M. BITTNER Denis","0","0","0","0","0","0","0","0","0","0","A"
"M. BUIL Guillaume","0","0","0","0","0","0","0","0","0","0","A"
"Mme DESSAINT Colette","7 945","7 945","0","0","0","0","7 945","0","0","7 945","A"
"Mme DISDIER Mélanie","30 381","30 381","65","0","0","0","30 316","0","0","30 316","A"
"Mme DOUAY Brigitte","28 126","28 126","105","800","305","0","26 916","0","0","26 916","A"
"Mme DUPUY NOGIER Isabelle","0","0","0","0","0","0","0","0","0","0","A"
"Mme GLATKOWSKI Eve","15","15","0","15","0","0","0","0","0","0","A"
"M. GRIMONPREZ Daniel","0","0","0","0","0","0","0","0","0","0","A"
"Mlle JANISSET Hélène","461","461","0","370","3","0","88","0","0","0","A"
"M m e   M A L P A U X - D U P O N T",,,,,,,,,,,
"Chantal","917","917","0","917","0","0","0","0","0","0","A"
"M. TRANOY Sylvain","30 387","30 387","250","0","0","0","30 137","0","0","30 137","A"
"M. VILLAIN François-Xavier","51 977","51 977","20 995","9 700","0","0","21 282","0","0","21 282","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"388","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 19</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 65 467","€",,,,,,,,,,
"Remboursement maximum : 32 734",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ADAMS Raymond","173","173","0","173","0","0","0","0","0","0","A"
"M. BAHRI Nordine","0","0","0","0","0","0","0","0","0","0","A"
"Mme BENAMARA- RAHAOUI",,,,,,,,,,,
"Fatiha","11 757
11 757","11 850
11 850","650
150","11 200
11 200","0
0","0
0","0
500","93
93","0","407","AR"
"M. BERTHÉ Benoît","917","917","0","917","0","0","0","0","0","0","A"
"M. BOUCOT Jacky","345","345","0","319","26","0","0","0","0","0","A"
"M. BOUTHILLIER Grégoire","0","0","0","0","0","0","0","0","0","0","A"
"M. DECALLONNE Bernard","0","0","0","0","0","0","0","0","0","0","A"
"M. DUBOIS Daniel","0","0","0","0","0","0","0","0","0","0","A"
"M. FABRE Pierre","0","0","0","0","0","0","0","0","0","0","A"
"M. KIKOS Jean-Claude","6 208
6 106","6 208
6 106","4 780
4 780","0
0","0
0","0
0","1 428
1 326","0
0","0","1 326","AR"
"M. LEROY Patrick","46 829
46 078","46 829
46 078","5 500
5 500","0
0","0
0","9 779
9 779","31 550
30 799","0
0","0","30 799","AR"
"M. NOTARIANNI Antonio","2 134","2 134","2 130","0","0","0","4","0","0","0","A"
"M. PLOUVIER Dominique","3 045","3 045","0","0","3 045","0","0","0","0","0","A"
"M. ROY Patrick","33 717","33 717","0","1 960","0","0","31 757","0","0","31 757","A"
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"389"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. THOMES Serge","30 155","30 155","75","0","200","0","29 880","0","0","29 880","A"
"Mme TOÏA Battistina","0","0","0","0","0","0","0","0","0","0","A"
"Mme WACRENIER Claire","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"390","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Nord - 20</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 65 245","€",,,,,,,,,,
"Remboursement maximum : 32 623",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BEAL Michelle","29 447
29 348","29 447
29 348","20
20","0
0","0
0","0
0","29 427
29 328","0
0","0","29 328","AR"
"M. BISMAN Stéphane","0","0","0","0","0","0","0","0","0","0","A"
"M. BOCQUET Alain","38 800
36 937","38 800
36 937","0
0","0
0","0
0","0
0","38 800
36 937","0
0","0","32 623","AR"
"M. BRUNEBARBE Jean-Claude","1 232","1 232","0","1 232","0","0","0","0","0","0","A"
"M. CASTELAIN Eric","25 287","25 700","200","0","0","0","25 500","413","0","25 087","A"
"M. CAUDRON Jacques","434","434","0","403","31","0","0","0","0","0","A"
"Mme DEGRANSARD Marie-",,,,,,,,,,,
"Geneviève","17 459
16 740","17 459
16 740","0
0","800
800","0
0","0
0","16 659
15 940","0
0","0","15 940","AR"
"Mme D’HALLUIN Marie",,,,,,,,,"0","0","AD"
"Mme DUBOIS Annette","0","0","0","0","0","0","0","0","0","0","A"
"Mme GARCIA Marie-Thérèse","33 673","39 012","0","10 700","0","0","28 312","5 339","0","0","R"
"Mme HUON Monique","0","0","0","0","0","0","0","0","0","0","A"
"Mme MASCOTTO Françoise","26 438
19 382","26 438
19 382","590
590","15 000
15 000","0
0","0
0","10 848
3 792","0
0","0","0","AR"
"Mlle ROEST Helyette","173","173","0","173","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"391"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Circoncription : Nord - 21</i>","<i>Département : Nord </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 65 580","€",,,,,,,,,,
"Remboursement maximum : 32 790",,"€",,,,,,,,"Scrutin contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BITTNER Katia","1 186","1 186","0","1 186","0","0","0","0","0","0","A"
"M. BORLOO Jean-Louis","27 397
27 397
26 697","27 397
27 397","0
0","1 700
1 700","0
0","0
0","25 697
25 697
24 997","0
0","0","24 997","AR"
"M. CHAGNON Jean-Luc","14 582
13 285
13 086","14 582
13 285","150
150","908
908","0
0","0
0","13 524
12 227
12 028","0
0","0","12 028","AR"
"M. DUGARDIN Noël","0","0","0","0","0","0","0","0","0","0","A"
"Mme GILBERT Laurence","0","0","0","0","0","0","0","0","0","0","A"
"Mme JOBBE DUVAL Béatrice","0","0","0","0","0","0","0","0","0","0","A"
"M. LEBRUN Luc","0","0","0","0","0","0","0","0","0","0","A"
"M. LISO Pierre",,,,,,,,,"0","0","AD"
"M. PECQUEUR Eric","383","383","0","352","31","0","0","0","0","0","A"
"M. ROUSSEL Vincent","0","0","0","0","0","0","0","0","0","0","A"
"M. SLABOLEPSZY Dominique","35 719","35 719","160","486","0","140","34 933","0","0","32 790","A"
"M. THIÉMÉ Fabien","33 391
32 665","33 391
32 665","0
0","0
0","0
0","0
0","33 391
32 665","0
0","0","32 665","AR"
"Mme WATTEL Anne","173","173","0","173","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
