"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum", "Scrutin"
"M. FRAISSE Paul",,,,,,,,,"0","0","AD","Oise - 3","64 565","32 283 €","Scrutin non contesté"
"M. FRANÇAIX Michel","43 431/42 439","43 431/42 439","7 670/7 670","900/900","0/0","0/0","34 861/33 869","0/0","0","32 283","AR","Oise - 3","64 565","32 283 €","Scrutin non contesté"
"M. GUINIOT Laurent","31 581","31 581","0","0","217","0","31 364","0","0","31 364","A","Oise - 3","64 565","32 283 €","Scrutin non contesté"
"Mme HERMANS Nadia","55","100","100","0","0","0","0","45","45","0","A","Oise - 3","64 565","32 283 €","Scrutin non contesté"
"M. LEBRETON Alain","18","18","0","0","0","0","18","0","0","0","A","Oise - 3","64 565","32 283 €","Scrutin non contesté"
"M. LETELLIER Alain","13 843","13 843","3 480","0","0","0","10 363","0","0","10 363","A","Oise - 3","64 565","32 283 €","Scrutin non contesté"
"M. SZPIRKO Roland","305","305","0","233","72","0","0","0","0","0","A","Oise - 3","64 565","32 283 €","Scrutin non contesté"
"M. TOUPIOL Olivier","564","564","0","238","0","0","326","0","0","0","A","Oise - 3","64 565","32 283 €","Scrutin non contesté"
"Mme BENSARIA-GOVAERTSHayat","1 831","1 831","0","0","0","0","1 831","0","0","0","A","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"Mme BOUSSARD Elisabeth","32 710","32 710","0","0","300","0","32 410","0","0","32 410","A","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"M. CASTEL William","0","0","0","0","0","0","0","0","0","0","A","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"Mme CHARLES Martine","11 316/11 258","11 316/11 258","50/50","900/900","50/50","0/0","10 316/10 258","0/0","0","10 258","AR","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"Mme CHEMINEAU Catherine","316","316","0","239","77","0","0","0","0","0","A","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"M. DELIE Christian","506","620","620","0","0","0","0","114","114","0","A","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"M. DENIS Yann","0","0","0","0","0","0","0","0","0","0","A","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"M m e   J A R R Y   G e n e v i e v eelisabeth",,,,,,,,,"0","0","AD","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"Mme PERUCCA Nicole",,,,,,,,,"0","0","AD","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"Mme ROUSSET Claude","15","15","0","15","0","0","0","0","0","0","A","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"Mme SCHWINDENHAMMERDelphine","595","595","0","366","0","0","229","0","0","0","A","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"Mme VANSTAEVEL Chrystelle","0/0","7 353/0","0/0","7 353/0","0/0","0/0","0/0","7 353/0","0","0","AR","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"M. WOERTH Eric","56 766","61 137","28 458","1 700","979","0","30 000","4 371","0","25 629","A","Oise - 4","66 315","33 158 €","Scrutin non contesté"
"M. BOCQUILLET Francis","0","0","0","0","0","0","0","0","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"Mme CHAPEL Monique","30 142","30 142","0","0","217","0","29 925","0","0","29 925","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"Mme CHOROWICZ Sylvie","121","150","0","0","0","0","150","29","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"M. COIFFARD Patrice","0","0","0","0","0","0","0","0","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"M. DALONGEVILLE Fabrice","17 826/12 058","17 855/12 087","500/500","11 000/11 000","0/0","0/0","6 355/587","29/29","0","0","AR","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"Mme DE LA FUENTE Thérèse","0","0","0","0","0","0","0","0","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"M. DEGAUCHY Lucien","21 961/21 474","21 961/21 474","0/0","9 700/9 700","1 500/1 500","0/0","10 761/10 274","0/0","0","10 274","AR","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"M. DENIS Xavier","377","377","0","369","8","0","0","0","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"M. DESCHAMPS Jonathan","15","15","0","15","0","0","0","0","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"Mme FRANÇOIS Arielle","9 604/3 661","9 604/3 661","680/680","0/0","0/0","0/0","8 924/2 981","0/0","0","2 981","AR","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"Mme MASURE Hélène","4 539","4 539","124","230","194","0","3 991","0","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"M. MINNAERT Jacques","0","0","0","0","0","0","0","0","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"Mme PAILLARD Martine","0","0","0","0","0","0","0","0","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"M. ROSENFELD Nathanael","51","51","50","0","0","0","1","0","0","0","A","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"Mme ROSSIGNOL Laurence","24 990/24 516","24 990/24 516","100/100","0/0","113/113","0/0","24 777/24 303","0/0","0","24 303","AR","Oise - 5","62 764","31 382 €","Scrutin non contesté"
"Mme BECHERINI Hélène","203","203","0","195","8","0","0","0","0","0","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"M. CARON Arnaud","1 540","1 540","0","371","0","0","1 169","0","0","0","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"M. CARVALHO Patrice","34 894/32 834","34 894/32 834","3 000/3 000","0/0","0/0","0/0","31 894/29 834","0/0","0","29 834","AR","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"Mme CIAVATTI Dominique","8 634","8 649","45","8 604","0","0","0","15","15","0","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"M. FRAYSSE Philippe","0","0","0","0","0","0","0","0","0","0","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"Mme FRESCH Renza","35 716","35 955","2 600","900","0","0","32 455","239","0","31 498","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"Mme GIBOUT Marie-France","2 480","2 480","280","0","0","0","2 200","0","0","0","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"M. GONNOT François-Michel","50 611","50 630","12 530","1 700","0","0","36 400","19","0","31 498","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"M. GUINIOT Michel","31 676","31 676","0","0","334","0","31 342","0","0","31 342","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"Mme LÉTUVÉ Michèle","0","0","0","0","0","0","0","0","0","0","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"M. PETIT Jean-André","15","15","0","15","0","0","0","0","0","0","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"Mme ROUSSEL Louise","0","0","0","0","0","0","0","0","0","0","A","Oise - 6","62 996","31 499 €","Scrutin non contesté"
"M. BERTIN Jean-Sébastien","280","280","0","230","50","0","0","0","0","0","A","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"M. COURTIAL Edouard","39 184","39 184","6 000","9 700","0","0","23 484","0","0","23 484","A","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"Mme DEMARLE Céline","15","15","0","15","0","0","0","0","0","0","A","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"Mme DEVERCHIN Virginie","350","350","350","0","0","0","0","0","0","0","A","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"Mme DINARD Christelle","6 960/6 731","12 422/12 193","540/360","482/482","0/0","0/180","11 400/11 171","5 462/5 462","0","5 709","AR","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"M. FOUCHARD André","31 390","31 390","0","0","210","0","31 180","0","0","31 180","A","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"M. HEIM Richard","0","0","0","0","0","0","0","0","0","0","A","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"Mme MAUPIN Isabelle","809","809","0","314","0","0","495","0","0","0","A","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"M. MOKHTARI Abdel","34 828/33 421","34 828/33 421","780/680","3 700/3 700","0/0","0/0","30 348/29 041","0/0","0","29 041","AR","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"M. MONTES Eric","26 685","26 685","1 840","11 200","0","0","13 645","0","0","0","A","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"M. PEN Loïc","16 264/16 216","16 264/16 216","180/180","0/0","0/0","0/0","16 084/16 036","0/0","0","16 036","AR","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"Mme VASSEUR Nadine","0","0","0","0","0","0","0","0","0","0","A","Oise - 7","64 123","32 062 €","Scrutin non contesté"
"Mme COULON Christine","191","191","0","15","142","0","34","0","0","0","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"M. DENIAUD Yves","35 894","35 894","8 340","9 700","413","0","17 441","0","0","17 441","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"Mme EGRET Corinne","0","0","0","0","0","0","0","0","0","0","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"M. GROUARD Erik","0","0","0","0","0","0","0","0","0","0","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"Mme LAVANRY Francine","26 469/26 363","26 469/26 363","0/0","0/0","0/0","0/0","26 469/26 363","0/0","0","0","AR","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"Mme MÉNARD Monique","282","282","253","0","0","0","29","0","0","0","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"M. PRÉHU Michel","0","0","0","0","0","0","0","0","0","0","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"Mme PROD’HOMME Claudine","369","369","180","0","0","0","189","0","0","0","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"M. PUEYO Joaquim","17 618/17 329","17 618/17 329","2 547/2 547","0/0","0/0","0/0","15 071/14 782","0/0","0","14 782","AR","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"M. SCAGLIA Jean-Pierre","371","371","0","365","6","0","0","0","0","0","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"M. THÉROU Stéphane","31 180","31 180","0","0","0","0","31 180","0","0","31 180","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"M. TOLLOT François","661","661","0","0","0","0","661","0","0","0","A","Orne - 1","62 803","31 402 €","Scrutin non contesté"
"M. ENGRAND Maurice","770","770","440","0","0","0","330","0","0","0","A","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"Mme FLORES Chantal","406","406","0","402","4","0","0","0","0","0","A","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"M. GORE Christian","0","0","0","0","0","0","0","0","0","0","A","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"M. GUITTON Claude","24 109/23 976","24 109/23 976","0/0","0/0","0/0","0/0","24 109/23 976","0/0","0","23 976","AR","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"Mme LE BACCON Murielle","1 228","1 228","0","1 228","0","0","0","0","0","0","A","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"M. LENOIR Jean-Claude","46 706/46 344","46 706/46 344","5 900/5 900","9 700/9 700","0/0","88/88","31 018/30 656","0/0","0","30 550","AR","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"Mme LUROIS Catherine","0","0","0","0","0","0","0","0","0","0","A","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"Mme MONTIER Agnès","50","50","0","15","35","0","0","0","0","0","A","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"Mme MORETTI Anne-Marie","12 144/11 577","14 350/13 783","0/0","100/100","0/0","0/0","14 250/13 683","2 206/2 206","0","11 477","AR","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"Mme PINEAU Natacha","0","0","0","0","0","0","0","0","0","0","A","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"M. SELLIER Jean","31 238/31 201","31 238/31 201","640/640","0/0","0/0","0/0","30 598/30 561","0/0","0","30 550","AR","Orne - 2","61 100","30 550 €","Scrutin non contesté"
"M. BALOCHE Dominique","0","0","0","0","0","0","0","0","0","0","A","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"Mme BASSOT Sylvia","36 583","36 583","0","9 700","7 669","0","19 214","0","0","19 214","A","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"M. BERTOLI Bruno","3 547","3 547","0","0","0","1 087","2 460","0","0","0","A","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"M. CHATELAIS Jean","774","774","0","0","0","0","774","0","0","0","A","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"M. CORDURIE Grégory","70","70","0","15","35","0","20","0","0","0","A","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"Mme GUILLOT Jeannine","0","0","0","0","0","0","0","0","0","0","A","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"Mlle HELLEU Camille","335","335","0","331","4","0","0","0","0","0","A","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"M. JAGLIN Xavier","13 231","13 231","0","0","2 014","0","11 217","0","0","11 217","A","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"Mme LECOEUR Brigitte","24 115/23 985","26 000/25 870","0/0","0/0","0/0","0/0","26 000/25 870","1 885/1 885","0","0","AR","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"M. LEVEILLE Frédéric","19 013/18 943","19 013/18 943","965/965","900/900","0/0","0/0","17 148/17 078","0/0","0","17 078","AR","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"Mme NIEL Marie-Ange","0","0","0","0","0","0","0","0","0","0","A","Orne - 3","62 360","31 180 €","Scrutin non contesté"
"Mme BRUNET Isabelle","336","336","0","325","11","0","0","0","0","0","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"Mme CARRE Isabelle","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"Mme DUMONCAY Sigrid","15","15","0","15","0","0","0","0","0","0","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"M. GABRIELE Joseph","32 036","32 036","0","0","0","0","32 036","0","0","31 858","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"M. GUILLEMANT Jean-Jacques","4 636","4 636","0","1 841","0","0","2 795","0","0","0","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"Mme D’HOLLANDER Daniele","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"Mme MAQUET Jacqueline","38 160/36 742","38 160/36 742","5 780/5 780","900/900","0/0","0/0","31 480/30 062","0/0","0","30 062","AR","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"M. PARENT Etienne","82","7 617","1 130","0","0","0","6 487","7 535","1 048","0","HD","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"M. PAVY Gérard","13 888","14 784","0","0","0","0","14 784","896","0","13 888","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"Mme RAINOUARD Mauricette","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"M. RAPENEAU Philippe","38 577/37 931","39 598/39 598","25 775/25 775","13 656/13 656","167/167","0/0","0/0","1 021/1 667","1 667","0","AR","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"Mme SANCHEZ Laura","1 474","1 474","0","1 474","0","0","0","0","0","0","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"M. VENEL Eric","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 1","63 716","31 859 €","Scrutin non contesté"
"M. BECQUET Jean michel","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"Mme BOCQUILLET Denise","14 461","14 461","600","0","0","0","13 861","0","0","13 861","A","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"M. DELEZENNE Jean-Pierre","17 420","17 420","0","0","0","0","17 420","0","0","0","A","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"M. DENGHIN Dominique","30 950","30 950","0","0","0","0","30 950","0","0","30 950","A","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"Mme GÉNISSON Catherine","43 283/42 767","43 283/42 767","6 550/6 550","900/900","600/600","0/0","35 233/34 717","0/0","0","30 961","AR","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"M. GUFFROY Dominique","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"M. MATEZAK Thierry","1 141","1 141","0","1 141","0","0","0","0","0","0","A","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"Mme MOLINS Marine","362","362","0","351","11","0","0","0","0","0","A","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"Mme PERROT Juliette","15","15","0","15","0","0","0","0","0","0","A","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"M. ZIOLKOWSKI Michel","36 971/36 935","36 971/36 935","1 631/1 631","10 700/10 700","80/80","1/1","24 559/24 523","0/0","0","24 523","AR","Pas-de-Calais - 2","61 922","30 961 €","Scrutin non contesté"
"Mme AUFFRAY Marion","24 866","27 000","0","0","0","0","27 000","2 134","0","0","A","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"Mlle DEBISSCHOP Magalie","15","15","0","15","0","0","0","0","0","0","A","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"Mme DESUTTER Corinne","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"M. D’HOLLANDER Jean-Pierre","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"Mme FLAUTRE Nathalie","1 333","1 333","0","1 333","0","0","0","0","0","0","A","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"M. HENNEBELLE Francis","18 427/12 081","18 427/12 081","0/0","0/0","0/0","0/0","18 427/12 081","0/0","0","0","AR","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"M m e   L E M O I N E - L E F A I TCatherine","1 555","1 555","0","0","0","0","1 555","0","0","0","A","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"M. LEROY Jean-Claude","20 685/20 510","20 685/20 510","0/0","900/900","0/0","0/0","19 785/19 610","0/0","0","19 610","AR","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"Mme MAGNIER Hélène","22 909/21 012","22 909/21 012","2 085/2 085","10 700/10 700","0/0","0/0","10 124/8 227","0/0","0","8 227","AR","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"M. MERLIN Raymond","317","317","0","301","16","0","0","0","0","0","A","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"Mme VERREMAN Francoise","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 3","61 268","30 634 €","Scrutin non contesté"
"Mme BACHE Marinette","3 458","3 629","0","3 629","0","0","0","171","171","0","A","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"Mme BOCQUET Stephanie","1 546","1 546","0","1 546","0","0","0","0","0","0","A","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"Mlle COOLZAET Renee","17 580","17 580","0","0","17 580","0","0","0","0","0","A","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"Mme COURBOIS Laurence","54","54","0","54","0","0","0","0","0","0","A","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"M. FASQUELLE Daniel","56 333/55 587","56 784/56 038","12 694/12 694","9 700/9 700","3 590/3 590","0/0","30 800/30 054","451/451","0","29 603","AR","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"M. GOSSELIN Fabrice","1 698","3 300","0","0","0","0","3 300","1 602","0","1 698","A","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"M. KAPELLA Adam","3 644","3 644","1 400","0","0","0","2 244","0","0","0","HD","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"Mme LACROIX Bernadette","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"M. LENA Vincent","39 562/38 615","39 562/38 615","950/950","900/900","4 804/4 804","336/336","32 572/31 625","0/0","0","31 030","AR","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"Mme LOIR Veronique","4 243/930","4 243/3 613","220/220","3 393/3 393","0/0","0/0","630/0","0/2 683","0","0","AR","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"M. MACQUET Patrick","423","423","0","384","39","0","0","0","0","0","A","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"M. THIEBAUX Pascal","6 111","6 111","0","0","0","0","6 111","0","0","0","A","Pas-de-Calais - 4","62 060","31 030 €","Scrutin non contesté"
"Mlle CHARLET Christine","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"M. CUVILLIER Frederic","27 712/27 534","27 712/27 534","0/0","900/900","0/0","0/0","26 812/26 634","0/0","0","26 634","AR","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"M. FEUTRY Laurent","19 458","23 131","3 000","0","0","0","20 131","3 673","0","16 458","A","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"M. HERENGUEL Philippe","64","64","0","64","0","0","0","0","0","0","A","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"M. LECAPLAIN Francois","359","359","0","341","18","0","0","0","0","0","A","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"M. PAPYLE Max","1 010","1 010","0","1 010","0","0","0","0","0","0","A","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"Mme PASSEBOSC Brigitte","16 010/15 295","16 010/15 295","0/0","0/0","0/0","0/0","16 010/15 295","0/0","0","15 295","AR","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"M. PONT Jean-Pierre","23 492","23 492","650","0","1 787","0","21 055","0","0","21 055","A","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"Mme SGARD Monique","16 431","16 431","0","0","0","0","16 431","0","0","0","A","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"M. TORRES Miguel","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"Mme VALLA Annick","20 734/20 476","27 275/27 017","0/0","10 700/10 700","1 575/1 575","0/0","15 000/14 742","6 541/6 541","0","8 201","AR","Pas-de-Calais - 5","60 402","30 201 €","Scrutin contesté"
"Mme BARBIER Agnes","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. BEAUDOUIN Christophe","203","203","203","0","0","0","0","0","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. BECU Vincent","1 820","1 820","0","1 820","0","0","0","0","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"Mme COCQUERELLE Gisele","13 492","13 492","455","0","0","0","13 037","0","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. DE MIL Herve","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. DUMONT Olivier","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. HARLE Remi","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. LANG Jack","39 891","39 891","0","900","2 090","0","36 901","0","0","31 578","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"Mme MILLOT Francoise","543","543","0","416","70","0","57","0","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. MORCRETTE Herve","5 944","12 096","0","11 000","0","0","1 096","6 152","5 056","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. TERNISIEN Christian","100","100","0","93","7","0","0","0","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. VERNALDE Jean-Jacques","31 445","31 500","0","0","0","0","31 500","55","0","31 445","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. WACHEUX Frederic","36 289/36 032","36 289/36 032","0/0","13 700/13 700","0/0","0/0","22 589/22 332","0/0","0","22 332","AR","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"Mme ZIEGLER Marie-Claude","391","3 500","0","0","0","0","3 500","3 109","0","0","A","Pas-de-Calais - 6","63 155","31 578 €","Scrutin non contesté"
"M. BEUN Andre","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"Mme BOUCHART Natacha","54 094/52 816","54 119/52 841","7 419/7 419","14 200/14 200","0/0","0/0","32 500/31 222","25/25","0","31 197","AR","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. CARPENTIER Bernard","15 088","15 088","0","0","0","0","15 088","0","0","15 088","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. COCQUEMPOT Gilles","41 679","41 679","980","900","200","0","39 599","0","0","32 738","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. DUBOUT Francois","30 858","30 858","0","0","0","0","30 858","0","0","30 858","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. GOUBELLE Jacques","1 265","1 265","0","1 265","0","0","0","0","0","0","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. LECLAIR Arnaud","23 455","23 455","0","0","0","0","23 455","0","0","23 455","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. LEMOINE Christophe","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. LEVAILLANT Marcel","29 650/28 723","29 650/28 723","230/230","0/0","0/0","0/0","29 420/28 493","0/0","0","28 493","AR","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. MILNER Marc","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. ROUSSEL Laurent","2 428","2 428","0","2 428","0","0","0","0","0","0","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. VARRIER-BAL Lionel","634","634","0","179","0","0","455","0","0","0","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"M. WAILLY Dominique","496","496","0","418","50","0","28","0","0","0","A","Pas-de-Calais - 7","65 476","32 739 €","Scrutin non contesté"
"Mme BATAILLE Marie pascale","20 849","20 849","1 205","10 700","30","0","8 914","0","0","8 914","A","Pas-de-Calais - 8","61 058","30 530 €","Scrutin non contesté"
"Mme DURIEZ Marie-Christine","12 389","12 389","0","0","0","0","12 389","0","0","0","A","Pas-de-Calais - 8","61 058","30 530 €","Scrutin non contesté"
"Mme LAGRANGE Brigitte","0","0","0","0","0","0","0","0","0","0","A","Pas-de-Calais - 8","61 058","30 530 €","Scrutin non contesté"
